,time,r/c,accept_ratio
0,0,0.815,0.925
1,1,0.816,0.926829268292683
2,2,0.818,0.9285714285714286
3,3,0.821,0.9302325581395349
4,4,0.819,0.9318181818181818
5,5,0.815,0.9333333333333333
6,6,0.819,0.9347826086956522
7,7,0.819,0.9361702127659575
8,8,0.818,0.9375
9,9,0.818,0.9387755102040817
10,10,0.824,0.94
11,11,0.825,0.9411764705882353
12,12,0.825,0.9423076923076923
13,13,0.827,0.9433962264150944
14,14,0.829,0.9444444444444444
15,15,0.829,0.9454545454545454
16,16,0.826,0.9464285714285714
17,17,0.827,0.9473684210526315
18,18,0.826,0.9482758620689655
19,19,0.829,0.9491525423728814
20,20,0.830,0.95
21,21,0.831,0.9508196721311475
22,22,0.832,0.9516129032258065
23,23,0.834,0.9523809523809523
24,24,0.835,0.953125
25,25,0.835,0.9538461538461539
26,26,0.837,0.9545454545454546
27,27,0.837,0.9552238805970149
28,28,0.840,0.9558823529411765
29,29,0.840,0.9565217391304348
30,30,0.837,0.9571428571428572
31,31,0.836,0.9577464788732394
32,32,0.836,0.9583333333333334
33,33,0.837,0.958904109589041
34,34,0.836,0.9594594594594594
35,35,0.838,0.96
36,36,0.838,0.9605263157894737
37,37,0.836,0.961038961038961
38,38,0.836,0.9615384615384616
39,39,0.835,0.9620253164556962
40,40,0.834,0.9625
41,41,0.836,0.9629629629629629
42,42,0.835,0.9634146341463414
43,43,0.836,0.963855421686747
44,44,0.837,0.9642857142857143
45,45,0.835,0.9647058823529412
46,46,0.834,0.9651162790697675
47,47,0.835,0.9655172413793104
48,48,0.836,0.9659090909090909
49,49,0.834,0.9662921348314607
50,50,0.832,0.9666666666666667
51,51,0.832,0.967032967032967
52,52,0.832,0.967391304347826
53,53,0.832,0.967741935483871
54,54,0.833,0.9680851063829787
55,55,0.834,0.968421052631579
56,56,0.833,0.96875
57,57,0.831,0.9690721649484536
58,58,0.832,0.9693877551020408
59,59,0.832,0.9696969696969697
60,60,0.832,0.97
