,time,r/c,accept_ratio
0,0,0.787,0.865
1,1,0.782,0.8634146341463415
2,2,0.786,0.8666666666666667
3,3,0.791,0.8697674418604651
4,4,0.791,0.8727272727272727
5,5,0.792,0.8755555555555555
6,6,0.797,0.8782608695652174
7,7,0.799,0.8808510638297873
8,8,0.797,0.8833333333333333
9,9,0.800,0.8857142857142857
10,10,0.804,0.888
11,11,0.804,0.8901960784313725
12,12,0.802,0.8923076923076924
13,13,0.806,0.8905660377358491
14,14,0.807,0.8925925925925926
15,15,0.808,0.8945454545454545
16,16,0.808,0.8964285714285715
17,17,0.810,0.8982456140350877
18,18,0.813,0.9
19,19,0.812,0.9016949152542373
20,20,0.812,0.9033333333333333
21,21,0.817,0.9049180327868852
22,22,0.816,0.9064516129032258
23,23,0.818,0.9079365079365079
24,24,0.817,0.909375
25,25,0.818,0.9107692307692308
26,26,0.818,0.9121212121212121
27,27,0.820,0.9134328358208955
28,28,0.821,0.9147058823529411
29,29,0.819,0.9159420289855073
30,30,0.819,0.9171428571428571
31,31,0.819,0.9183098591549296
32,32,0.820,0.9194444444444444
33,33,0.822,0.9205479452054794
34,34,0.821,0.9216216216216216
35,35,0.820,0.9226666666666666
36,36,0.820,0.9236842105263158
37,37,0.820,0.9246753246753247
38,38,0.822,0.9256410256410257
39,39,0.821,0.9265822784810127
40,40,0.821,0.9275
41,41,0.823,0.928395061728395
42,42,0.826,0.9292682926829269
43,43,0.827,0.9301204819277108
44,44,0.826,0.9285714285714286
45,45,0.828,0.9294117647058824
46,46,0.827,0.9302325581395349
47,47,0.828,0.9310344827586207
48,48,0.828,0.9318181818181818
49,49,0.828,0.9325842696629213
50,50,0.825,0.9333333333333333
51,51,0.826,0.9340659340659341
52,52,0.828,0.9347826086956522
53,53,0.828,0.9354838709677419
54,54,0.828,0.9361702127659575
55,55,0.827,0.9368421052631579
56,56,0.827,0.9375
57,57,0.824,0.9360824742268041
58,58,0.825,0.936734693877551
59,59,0.825,0.9373737373737374
60,60,0.827,0.938
