,time,r/c,accept_ratio
0,0,0.929,0.905
1,1,0.930,0.9073170731707317
2,2,0.932,0.9095238095238095
3,3,0.936,0.9116279069767442
4,4,0.939,0.9136363636363637
5,5,0.944,0.9155555555555556
6,6,0.955,0.9173913043478261
7,7,0.955,0.9191489361702128
8,8,0.955,0.9208333333333333
9,9,0.956,0.9224489795918367
10,10,0.959,0.924
11,11,0.961,0.9254901960784314
12,12,0.959,0.926923076923077
13,13,0.961,0.9283018867924528
14,14,0.961,0.9296296296296296
15,15,0.962,0.9309090909090909
16,16,0.961,0.9321428571428572
17,17,0.962,0.9333333333333333
18,18,0.961,0.9310344827586207
19,19,0.960,0.9322033898305084
20,20,0.962,0.9333333333333333
21,21,0.962,0.9344262295081968
22,22,0.962,0.9354838709677419
23,23,0.961,0.9365079365079365
24,24,0.959,0.9375
25,25,0.956,0.9384615384615385
26,26,0.957,0.9393939393939394
27,27,0.957,0.9402985074626866
28,28,0.954,0.9411764705882353
29,29,0.954,0.9420289855072463
30,30,0.952,0.9428571428571428
31,31,0.951,0.9436619718309859
32,32,0.950,0.9444444444444444
33,33,0.951,0.9452054794520548
34,34,0.950,0.9459459459459459
35,35,0.952,0.9466666666666667
36,36,0.951,0.9473684210526315
37,37,0.951,0.948051948051948
38,38,0.952,0.9487179487179487
39,39,0.950,0.9493670886075949
40,40,0.951,0.95
41,41,0.951,0.9506172839506173
42,42,0.953,0.9512195121951219
43,43,0.953,0.9518072289156626
44,44,0.952,0.9523809523809523
45,45,0.951,0.9529411764705882
46,46,0.952,0.9534883720930233
47,47,0.952,0.9540229885057471
48,48,0.952,0.9545454545454546
49,49,0.953,0.9550561797752809
50,50,0.952,0.9555555555555556
51,51,0.951,0.9560439560439561
52,52,0.951,0.9565217391304348
53,53,0.951,0.956989247311828
54,54,0.952,0.9574468085106383
55,55,0.952,0.9578947368421052
56,56,0.952,0.9583333333333334
57,57,0.951,0.9587628865979382
58,58,0.951,0.9591836734693877
59,59,0.952,0.9595959595959596
60,60,0.952,0.96
