,time,r/c,accept_ratio
0,0,0.630,0.66
1,1,0.630,0.6536585365853659
2,2,0.631,0.6571428571428571
3,3,0.633,0.6651162790697674
4,4,0.635,0.6727272727272727
5,5,0.635,0.6755555555555556
6,6,0.638,0.6826086956521739
7,7,0.638,0.6851063829787234
8,8,0.640,0.6916666666666667
9,9,0.643,0.6979591836734694
10,10,0.644,0.704
11,11,0.645,0.7098039215686275
12,12,0.645,0.7153846153846154
13,13,0.648,0.720754716981132
14,14,0.649,0.7222222222222222
15,15,0.650,0.7272727272727273
16,16,0.650,0.7321428571428571
17,17,0.650,0.7368421052631579
18,18,0.653,0.7413793103448276
19,19,0.653,0.7423728813559322
20,20,0.653,0.7433333333333333
21,21,0.651,0.7475409836065574
22,22,0.649,0.7516129032258064
23,23,0.649,0.7555555555555555
24,24,0.649,0.759375
25,25,0.652,0.7630769230769231
26,26,0.651,0.7666666666666667
27,27,0.651,0.7671641791044777
28,28,0.651,0.7705882352941177
29,29,0.651,0.7739130434782608
30,30,0.651,0.7771428571428571
31,31,0.651,0.780281690140845
32,32,0.652,0.7833333333333333
33,33,0.653,0.7863013698630137
34,34,0.653,0.7891891891891892
35,35,0.655,0.792
36,36,0.656,0.7947368421052632
37,37,0.656,0.7974025974025974
38,38,0.656,0.7974358974358975
39,39,0.658,0.8
40,40,0.658,0.8025
41,41,0.660,0.8049382716049382
42,42,0.659,0.8073170731707318
43,43,0.659,0.8072289156626506
44,44,0.658,0.8071428571428572
45,45,0.659,0.8094117647058824
46,46,0.658,0.8116279069767441
47,47,0.658,0.8114942528735632
48,48,0.658,0.8136363636363636
49,49,0.659,0.8134831460674158
50,50,0.658,0.8155555555555556
51,51,0.658,0.8175824175824176
52,52,0.658,0.8152173913043478
53,53,0.659,0.8172043010752689
54,54,0.659,0.8191489361702128
55,55,0.660,0.8189473684210526
56,56,0.660,0.81875
57,57,0.660,0.8206185567010309
58,58,0.660,0.8204081632653061
59,59,0.661,0.8202020202020202
60,60,0.661,0.822
