,time,revenus,r/c,accept_ratio
0,0,0,0.000,0.0
1,1,0,0.000,0.0
2,2,0,0.000,0.0
3,3,0,0.000,0.0
4,4,0,0.000,0.0
5,5,0,0.000,0.0
6,6,0,0.000,0.0
7,7,0,0.000,0.0
8,8,0,0.000,0.0
9,9,0,0.000,0.0
10,10,0,0.000,0.0
11,11,0,0.000,0.0
12,12,0,0.000,0.0
13,13,0,0.000,0.0
14,14,0,0.000,0.0
15,15,0,0.000,0.0
16,16,2162,1.176,1.0
17,17,2162,1.176,1.0
18,18,2162,1.176,1.0
19,19,2162,1.176,1.0
20,20,2162,1.176,1.0
21,21,2162,1.176,1.0
22,22,2162,1.176,1.0
23,23,2162,1.176,1.0
24,24,2162,1.176,1.0
25,25,2162,1.176,1.0
26,26,2162,1.176,1.0
27,27,2162,1.176,1.0
28,28,2162,1.176,1.0
29,29,2404,1.110,1.0
30,30,2404,1.110,1.0
31,31,2404,1.110,1.0
32,32,2404,1.110,1.0
33,33,2404,1.110,1.0
34,34,2404,1.110,1.0
35,35,2404,1.110,1.0
36,36,2404,1.110,1.0
37,37,2404,1.110,1.0
38,38,2404,1.110,1.0
39,39,2404,1.110,1.0
40,40,2404,1.110,1.0
41,41,2404,1.110,1.0
42,42,2404,1.110,1.0
43,43,2404,1.110,1.0
44,44,2404,1.110,1.0
45,45,2404,1.110,1.0
46,46,3224,1.060,1.0
47,47,3224,1.060,1.0
48,48,3224,1.060,1.0
49,49,3224,1.060,1.0
50,50,3224,1.060,1.0
51,51,3224,1.060,1.0
52,52,3224,1.060,1.0
53,53,3224,1.060,1.0
54,54,3224,1.060,1.0
55,55,3224,1.060,1.0
56,56,3224,1.060,1.0
57,57,3224,1.060,1.0
58,58,3224,1.060,1.0
59,59,3224,1.060,1.0
60,60,3224,1.060,1.0
61,61,3224,1.060,1.0
62,62,3224,1.060,1.0
63,63,3224,1.060,1.0
64,64,3224,1.060,1.0
65,65,3224,1.060,1.0
66,66,3224,1.060,1.0
67,67,3224,1.060,1.0
68,68,3224,1.060,1.0
69,69,3224,1.060,1.0
70,70,3224,1.060,1.0
71,71,3224,1.060,1.0
72,72,4599,1.032,1.0
73,73,4599,1.032,1.0
74,74,4599,1.032,1.0
75,75,4599,1.032,1.0
76,76,4599,1.032,1.0
77,77,4599,1.032,1.0
78,78,4599,1.032,1.0
79,79,4599,1.032,1.0
80,80,4599,1.032,1.0
81,81,4599,1.032,1.0
82,82,4599,1.032,1.0
83,83,4599,1.032,1.0
84,84,4599,1.032,1.0
85,85,4599,1.032,1.0
86,86,4599,1.032,1.0
87,87,4599,1.032,1.0
88,88,4599,1.032,1.0
89,89,4599,1.032,1.0
90,90,4599,1.032,1.0
91,91,4903,0.987,1.0
92,92,4903,0.987,1.0
93,93,4903,0.987,1.0
94,94,4903,0.987,1.0
95,95,4903,0.987,1.0
96,96,4903,0.987,1.0
97,97,4903,0.987,1.0
98,98,4903,0.987,1.0
99,99,4903,0.987,1.0
100,100,4903,0.987,1.0
101,101,4903,0.987,1.0
102,102,4903,0.987,1.0
103,103,4903,0.987,1.0
104,104,4903,0.987,1.0
105,105,4903,0.987,1.0
106,106,4903,0.987,1.0
107,107,4903,0.987,1.0
108,108,4903,0.987,1.0
109,109,4903,0.987,1.0
110,110,4903,0.987,1.0
111,111,4903,0.987,1.0
112,112,5216,0.944,1.0
113,113,5216,0.944,1.0
114,114,5216,0.944,1.0
115,115,5216,0.944,1.0
116,116,5216,0.944,1.0
117,117,5216,0.944,1.0
118,118,5216,0.944,1.0
119,119,5216,0.944,1.0
120,120,5216,0.944,1.0
121,121,5216,0.944,1.0
122,122,5216,0.944,1.0
123,123,5216,0.944,1.0
124,124,5598,0.907,1.0
125,125,5598,0.907,1.0
126,126,5598,0.907,1.0
127,127,5598,0.907,1.0
128,128,5598,0.907,1.0
129,129,5598,0.907,1.0
130,130,5598,0.907,1.0
131,131,5598,0.907,1.0
132,132,5598,0.907,1.0
133,133,5598,0.907,1.0
134,134,5598,0.907,1.0
135,135,5598,0.907,1.0
136,136,5598,0.907,1.0
137,137,5862,0.895,1.0
138,138,5862,0.895,1.0
139,139,5862,0.895,1.0
140,140,5862,0.895,1.0
141,141,5862,0.895,1.0
142,142,5862,0.895,1.0
143,143,5862,0.895,1.0
144,144,5862,0.895,1.0
145,145,5862,0.895,1.0
146,146,5862,0.895,1.0
147,147,5862,0.895,1.0
148,148,5862,0.895,1.0
149,149,5862,0.895,1.0
150,150,5862,0.895,1.0
151,151,5862,0.895,1.0
152,152,5862,0.895,1.0
153,153,5862,0.895,1.0
154,154,5862,0.895,1.0
155,155,5862,0.895,1.0
