,time,r/c,accept_ratio
0,0,0.594,0.69
1,1,0.592,0.697560975609756
2,2,0.591,0.7
3,3,0.590,0.7069767441860465
4,4,0.589,0.7136363636363636
5,5,0.587,0.72
6,6,0.591,0.7260869565217392
7,7,0.591,0.7276595744680852
8,8,0.589,0.7333333333333333
9,9,0.589,0.7387755102040816
10,10,0.596,0.744
11,11,0.596,0.7490196078431373
12,12,0.596,0.75
13,13,0.597,0.7509433962264151
14,14,0.597,0.7481481481481481
15,15,0.597,0.7527272727272727
16,16,0.599,0.7571428571428571
17,17,0.601,0.7614035087719299
18,18,0.603,0.7620689655172413
19,19,0.605,0.7627118644067796
20,20,0.607,0.76
21,21,0.607,0.7639344262295082
22,22,0.607,0.7677419354838709
23,23,0.612,0.7714285714285715
24,24,0.614,0.775
25,25,0.615,0.7784615384615384
26,26,0.615,0.7818181818181819
27,27,0.616,0.7791044776119403
28,28,0.616,0.7823529411764706
29,29,0.618,0.7855072463768116
30,30,0.619,0.7885714285714286
31,31,0.621,0.7915492957746478
32,32,0.622,0.7888888888888889
33,33,0.624,0.7917808219178082
34,34,0.623,0.7945945945945946
35,35,0.625,0.7973333333333333
36,36,0.625,0.7947368421052632
37,37,0.626,0.7948051948051948
38,38,0.627,0.7948717948717948
39,39,0.628,0.7974683544303798
40,40,0.629,0.8
41,41,0.631,0.8024691358024691
42,42,0.631,0.8048780487804879
43,43,0.632,0.8048192771084337
44,44,0.632,0.8047619047619048
45,45,0.634,0.8070588235294117
46,46,0.635,0.8093023255813954
47,47,0.636,0.8091954022988506
48,48,0.636,0.8113636363636364
49,49,0.637,0.8112359550561797
50,50,0.638,0.8111111111111111
51,51,0.638,0.8131868131868132
52,52,0.639,0.8108695652173913
53,53,0.639,0.8129032258064516
54,54,0.638,0.8148936170212766
55,55,0.638,0.8147368421052632
56,56,0.637,0.8145833333333333
57,57,0.636,0.8144329896907216
58,58,0.636,0.8142857142857143
59,59,0.637,0.8121212121212121
60,60,0.637,0.814
